t1 t2 dist
c a 5.4
d a 3.0
a b 8.85
d b 9
b e 6.4
b f 8.2
e f 8
e g 5.9
g f 4.9
g h 0.89
g i 2.87
g j 2.5
h j 2.1
h i 1.96
j i 3.3
j e 6.0
c d 2.4
k a 2.8
h1 k 3.3
h1 a 6.2
h1 l 5.0
h1 d 8.9
h1 c 10.6
h2 k 5.6
h2 l 5.4
h2 c 12.27
l c 6.7
l a 6.2
l m 12.3
n l 6.6
n a 11.8
n h2 11.0
n m 9.0
h1 h2 3.45
h1 h3 4.77
h3 d 11.9
c e 11.5
o h3 3.6
o g 6.1
o h 5.9
o i 6.6
o e 7.0
o p 5.2
o q 3.4
o r 5.6
o s 5.9
r j 6.9
r h 7.9
r g 8.7
r xt 13.5
r e 12.4
r p 10.6
r q 7.4
r s 4.6
s q 4.8
s p 8.4
s e 13.2
s i 10.7
s j 9.0
s g 11.6
s xt 16.6
h1 L 5.0
h1 D 5.9
h1 K 7.1
D L 4.2
D K 2.5
K L 2.9
K h2 6.2
K c 10.0
K J 5.4
L J 6.5
J c 9.0
J G 6.6
J H 5.9
J I 4.8
J C 7.4
J m 9.0
G m 5.5
G H 3.0
G I 8.1
G C 10.5
G B 12.5
G F 11.6
G E 13.4
H B 11.5
H I 5.4
H C 7.5
I m 12.7
I C 2.7
I B 15.3
I F 17.2
B m 17.3
B F 4.9
B E 6.1
E F 1.7
E m 16.5
F m 15.0
