id dia beskr fx fy
j 0.2 Ek 594657.7348535236 6291163.143542287
a 0.6 Tall 594668.8376415648 6291178.715945953
b 0.4 Ek 594666.9718641766 6291169.9864851
d 0.15 "Stolpe uteplats" 594665.8595416638 6291179.66815489
c 0.1 "Hushörn NO" 594663.34636558 6291180.229021159
e 0.1 "Hushörn SO" 594660.69137913 6291168.332337734
m 0.1 "Hushörn NV" 594654.98922518 6291182.094086713
p 0.1 "Hushörn SV" 594652.33423874 6291170.197403288
f 0.4 Tall 594665.4429632558 6291161.5276918085
g 0.2 Ek 594660.2968914016 6291162.35229121
h 0.1 Ek 594659.4871595062 6291161.834293689
i 0.3 Ek 594659.2108137013 6291159.795180126
k 0.2 Tall 594669.3598314176 6291182.117423227
l 0.6 Tall 594667.1632024464 6291185.595581771
n 0.6 Tall 594661.0555860201 6291189.067051551
h1 0 "Lillstuga SV" 594671.755073820 6291184.1106088795
h2 0 "Lillstuga NV" 594672.295067259 6291187.5524468403
h3 0 "Lillstuga SO" 594676.473469193 6291183.3703350564
h4 0 "Lillstuga NO" 594677.013462633 6291186.8121730173
o 0.3 Ek 594654.2113725236 6291165.080874313
q 0.15 Ek 594650.9929763513 6291166.935908526
r 0.2 Tall 594651.9788 6291159.2900
s 0.3 Ek 594648.6298138758 6291162.3807712495
A 0 xxx "" ""
B 0.6 Tall 594644.0642545553 6291195.946694989
C 0 xxx 594659.9305073563 6291196.735878162
D 0.55 Tall 594669.5815500845 6291189.821099325
E 0.2 Tall 594640.6287782494 6291190.454938169
F 0.25 Tall 594642.5464584525 6291190.8177505145
G 0.38 Tall 594654.0813866107 6291187.768295535
H 0.2 Ek 594654.9725197676 6291190.959458176
I 0.15 Ek 594659.6108255606 6291194.048912548
K 0.35 Tall 594666.7308876053 6291189.441438525
